홍길동,차장,인사,2021-5-7,인성 교육,필수 인성 교육
홍길동,차장,인사,2021-5-21,사내 직무 과정,엑셀실무
이준희,전무,사업,2021-5-30,법정 의무 교육,직장 내 성희롱 예방 교육
이준희,전무,사업,2021-5-5,사내 직무 과정,엑셀실무
탁만명,인턴,영업,2021-5-19,사내 직무 과정,엑셀실무
왕인래,사원,인사,2021-7-23,신입사원 교육,신입사원 직무 교육
옥란의,과장,재무,2021-5-17,법정 의무 교육,직장 내 성희롱 예방 교육
최잔세,차장,인사,2021-1-21,사내 직무 과정,엑셀실무
홍동빈,사원,디자인,2021-4-23,신입사원 교육,신입사원 멘토링
윤루남,대리,회계,2021-1-2,법정 의무 교육,산업 안전 보건 교육
진덕솜,과장,영업,2021-5-28,사내 직무 과정,데이터 분석과 통계
하남근,부장,재무,2021-5-18,사내 직무 과정,엑셀실무
차숭섭,대리,영업,2021-12-23,사내 직무 과정,데이터 분석과 통계
방연섭,차장,개발,2021-5-13,신입사원 교육,신입사원 인성 교육
노정추,과장,디자인,2021-4-25,법정 의무 교육,산업 안전 보건 교육
신동더,인턴,개발,2021-5-14,사내 직무 과정,기초 재무회계
민아구,과장,인사,2021-5-12,사내 직무 과정,데이터 분석과 통계
현곤바,인턴,영업,2021-11-6,사내 직무 과정,한 장 보고서 작성
우혜라,과장,마케팅,2021-9-17,법정 의무 교육,직장 내 성희롱 예방 교육
천준우,차장,재무,2021-12-21,신입사원 교육,신입사원 인성 교육
조혁더,사원,마케팅,2021-8-26,신입사원 교육,신입사원 멘토링
정운량,부장,영업,2021-8-26,법정 의무 교육,개인정보보호 교육
이열욱,부장,마케팅,2021-3-6,신입사원 교육,신입사원 인성 교육
공루휴,인턴,영업,2021-12-2,법정 의무 교육,산업 안전 보건 교육
남학걸,차장,영업,2021-7-12,신입사원 교육,신입사원 인성 교육
금초린,차장,개발,2021-9-5,신입사원 교육,신입사원 직무 교육
조개현,사원,인사,2021-4-10,사내 직무 과정,기초 재무회계
주정안,사원,디자인,2021-12-12,신입사원 교육,신입사원 인성 교육
모판정,인턴,회계,2021-5-14,법정 의무 교육,개인정보보호 교육
홍길동,차장,인사,2021-4-6,신입사원 교육,신입사원 멘토링
백판래,사원,개발,2021-12-23,사내 직무 과정,한 장 보고서 작성
백판래,사원,개발,2021-8-11,사내 직무 과정,데이터 분석과 통계
박으린,차장,디자인,2021-7-19,신입사원 교육,신입사원 직무 교육
강디란,대리,디자인,2021-9-28,법정 의무 교육,개인정보보호 교육
박재엄,과장,인사,2021-3-23,사내 직무 과정,기초 재무회계
마성흔,사원,인사,2021-12-15,법정 의무 교육,개인정보보호 교육
변리유,과장,마케팅,2021-6-21,사내 직무 과정,엑셀실무
강여시,부장,인사,2021-6-2,사내 직무 과정,기초 재무회계
서솔연,인턴,회계,2021-2-16,사내 직무 과정,데이터 분석과 통계
석관연,사원,디자인,2021-8-21,법정 의무 교육,개인정보보호 교육
